state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
gujarat,2025,,,,23146.160000000014,402.357787485721,,,,,,25.333333333333332,464.0851851851853,130.74224965706446,132.12323731138542,50.9641975308642,61.73401920438957,6700.799999999999,6750.0,9892.199999999997,262.86485596707826,92.0,9735.431467253176,9735.431467253176,18438425.759999998,203.0,,,,,,,,,,,
jammu and kashmir,2020,,,,13363.009999999997,318.3275338238785,20.86,0.0,0.0,20.86,,,,,,,,,,,,,717.4214497589916,717.4214497589916,5027736.0,112.0,3738.0408333333326,175.0,203.04083333333332,0.0,3360.0,27.55,0.01,,251.43999999999994,11834.991206896555,158865.22999999992
jammu and kashmir,2023,,,,16357.460000000001,321.36363636363643,0.0,0.0,0.0,0.0,,,,,,,,,,,,,917.8759280593958,917.8759280593958,8019240.0,132.0,3742.7124999999996,175.0,0.0,3360.0,207.7125,27.0,0.01,,241.26999999999998,24663.886199999997,397159.38
west bengal,2017,,,,22540.05000000001,229.4558823529412,,,,,,,,,,,,,,,,,5098.145930663701,496.9760659992584,14666964.0,453.0,16054.98,14345.0,431.97999999999996,0.0,1278.0,31671.14,27.67,49.36000000000001,195.33,9115.735294117645,105676.64000000001
madhya pradesh,2024,,,,145218.99,403.9166666666667,8929.710000000001,5112.11,3320.1,497.50000000000006,,21.899999999999995,388.48419629629615,2.345295350801302,254.19198236517943,35.669735854653325,48.50916621760805,95216.60999999996,95262.35,104401.46000000004,256.53688392864495,545.0,3405.30171177852,860.8542083796812,28519824.0,933.0,31237.228888888887,22000.0,0.0,2235.0,7002.22888888889,,,,,,
nagaland,2019,,,,166.91000000000003,75.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,13.977054531490017,13.977054531490017,121200.0,12.0,106.67,0.0,31.670000000000012,0.0,75.0,446.42,,,240.31999999999994,13575.234848484848,183025.28999999995
the dadra and nagar haveli and daman and diu,2020,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,30.891666666666666,0.0,30.891666666666666,0.0,0.0,,,,251.43999999999994,11834.991206896555,158865.22999999992
the dadra and nagar haveli and daman and diu,2023,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,46.470000000000006,0.0,0.0,0.0,46.470000000000006,,,,241.26999999999998,24663.886199999997,397159.38
chhattisgarh,2024,,,,,,1142.96,832.4599999999998,0.0,310.5000000000001,,22.288461538461537,278.142433760684,1.0324175330138905,184.94990779997713,35.76773452102526,39.210501355970074,118967.92,119948.46000000002,127393.10000000006,185.98184826207657,1460.0,,,,,25377.067777777775,23688.0,0.0,120.0,1569.0677777777778,,,,,,
the dadra and nagar haveli and daman and diu,2021,,,,,,69.8,6.1,63.7,0.0,,,,,,,,,,,,,,,,,46.11333333333334,0.0,42.265,0.0,3.848333333333333,,,,217.75,10392.014583333335,120533.86
