state_name,join_date,energy_requirement,energy_availability,deficit_mu,deficit_pct,total_gen_actual_mu,total_gen_program_mu,avg_monitored_cap_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,cap_coal_mw,cap_gas_mw,cap_diesel_mw,cap_lignite_mw,cap_nuclear_mw,cap_hydro_mw,cap_res_mw,total_thermal_mw,total_capacity_mw,avg_total_outage_mw,avg_fresh_outage_mw,total_energy_lost_mwh,total_incidents_count,fresh_incidents_count,avg_coal_stock_days,avg_coal_normative_stock_days,avg_req_normative_coal_stock_tonnes,avg_actual_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,coal_stock_critical_incidents,year,month_num,month_start_date
himachal pradesh,2018-08-01,,,,,5443.37,5612.859999999999,344.52721198156684,0.0,,,,0.0,0.0,0.0,0.0,861.97,0.0,9699.02,0.0,10560.99,1233.4345161290323,1233.4345161290323,917675.28,28.0,28.0,,,,,,,,,,,,,2018,8,2018-08-01
goa,2018-03-01,,,,,0.0,0.0,48.0,0.0,,,,0.0,48.0,0.0,0.0,0.9600000000000001,0.0,0.0,48.0,48.96,0.0,,,1.0,1.0,,,,,,,,,,,,,2018,3,2018-03-01
uttar pradesh,2024-07-01,,,,,15124.119999999999,16597.139999999985,299.2445161290322,341.94,328.53,0.0,10.710000000000003,25395.0,1493.14,0.0,0.0,440.0,501.6,5353.26,26888.14,33183.0,3258.6316129032252,1955.244516129032,2424421.92,153.0,149.0,,20.4,332.0600000000002,357.2559677419355,352.5227419354839,4.735483870967742,65.97096774193548,112.48064516129033,9879.699999999999,9497.800000000001,10664.930000000004,0.0,2024,7,2024-07-01
uttar pradesh,2024-04-01,,,,,14370.37,16155.28000000001,299.2445161290322,415.98,415.98,0.0,0.0,25395.0,1493.14,0.0,0.0,440.0,501.6,5209.740000000001,26888.14,33039.479999999996,3625.8030000000003,1918.303,2610578.16,176.0,165.0,,24.26923076923077,378.2172916666666,385.78469551282046,385.02612179487176,0.758573717948718,0.6209775641025641,1.1722435897435897,8926.330000000004,8847.41,10281.140000000009,18.0,2024,4,2024-04-01
manipur,2024-02-01,,,,,12.280000000000001,0.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,105.0,18.49,36.0,159.49,22.93103448275862,22.93103448275862,15960.0,2.0,2.0,,,,,,,,,,,,,2024,2,2024-02-01
tripura,2024-08-01,,,,,422.6700000000001,533.4999999999999,213.52000000000004,1.0600000000000003,1.0600000000000003,0.0,0.0,0.0,1067.6,0.0,0.0,0.0,0.0,36.269999999999996,1067.6,1103.87,192.45483870967743,192.45483870967743,143186.40000000002,5.0,5.0,,,,,,,,,,,,,2024,8,2024-08-01
sikkim,2023-08-01,,,,,1794.02,1674.9299999999994,285.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.0,59.79,0.0,2341.79,31.85483870967742,31.85483870967742,23700.0,8.0,8.0,,,,,,,,,,,,,2023,8,2023-08-01
jharkhand,2017-09-01,,,,,2286.45,2260.2599999999998,183.3862068965517,0.0,,,,,,,,,,,,,1205.7,155.53333333333333,868104.0,50.0,36.0,,,,,,,,,,,,,2017,9,2017-09-01
west bengal,2025-03-01,,,,,8503.809999999998,8410.529999999999,244.3967213114755,0.0,,,,,,,,,,,,,1568.241935483871,1568.241935483871,1166772.0,61.0,61.0,,25.4375,282.94375,175.16874999999996,175.16874999999996,0.0,66.75,58.729166666666664,505.20000000000005,555.5,550.3799999999999,10.0,2025,3,2025-03-01
jharkhand,2024-06-01,,,,,3362.05,3449.4000000000005,251.30434782608697,0.0,0.0,0.0,0.0,5570.0,0.0,0.0,0.0,0.0,210.0,189.82000000000002,5570.0,5969.82,585.0,198.66666666666666,421200.0,43.0,41.0,,24.875,221.80949999999999,243.91375000000002,243.91375000000002,0.0,56.37279166666667,85.348375,2289.9599999999996,2463.38,2243.4,26.0,2024,6,2024-06-01
